0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:20 +0530] "GET /Games/Registration.jsp HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:22 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:23 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:28 +0530] "GET /Games/Registration.jsp HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:43 +0530] "GET /Games/Contact.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:43 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:43 +0530] "GET /Games/Contact.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:43 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:47 +0530] "GET /Games/login.jsp HTTP/1.1" 200 5746
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:50 +0530] "GET /Games/Registration.jsp HTTP/1.1" 200 6624
0:0:0:0:0:0:0:1 - - [02/Dec/2023:11:49:57 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:00:22 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:00:24 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:00:24 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [02/Dec/2023:12:00:26 +0530] "GET /Games/Contact.jsp HTTP/1.1" 500 2635
