127.0.0.1 - - [23/Feb/2024:21:06:25 +0530] "GET / HTTP/1.1" 404 752
127.0.0.1 - - [23/Feb/2024:21:06:32 +0530] "GET /Games/GameDetails.jsp HTTP/1.1" 200 5930
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/css/bootstrap.min.css HTTP/1.1" 200 99957
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/css/font-awesome.min.css HTTP/1.1" 200 17780
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/css/templatemo_misc.css HTTP/1.1" 200 26386
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/images/slidenull.jpg HTTP/1.1" 404 786
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/css/templatemo_style.css HTTP/1.1" 200 9653
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/js/jquery-1.10.2.min.js HTTP/1.1" 200 93575
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/js/jquery.singlePageNav.js HTTP/1.1" 200 5674
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/js/jquery.flexslider.js HTTP/1.1" 200 52710
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/js/custom.js HTTP/1.1" 200 533
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/js/jquery.prettyPhoto.js HTTP/1.1" 200 22060
127.0.0.1 - - [23/Feb/2024:21:06:33 +0530] "GET /Games/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
127.0.0.1 - - [23/Feb/2024:21:06:34 +0530] "GET /favicon.ico HTTP/1.1" 404 763
127.0.0.1 - - [23/Feb/2024:21:07:45 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9752
127.0.0.1 - - [23/Feb/2024:21:07:45 +0530] "GET /Games/images/main.jpg HTTP/1.1" 200 3078497
127.0.0.1 - - [23/Feb/2024:21:07:45 +0530] "GET /Games/images/slide1.jpg HTTP/1.1" 200 194627
127.0.0.1 - - [23/Feb/2024:21:07:45 +0530] "GET /Games/images/slide2.jpg HTTP/1.1" 200 233999
127.0.0.1 - - [23/Feb/2024:21:07:45 +0530] "GET /Games/images/slide3.jpg HTTP/1.1" 200 240407
127.0.0.1 - - [23/Feb/2024:21:08:55 +0530] "GET /Games/index.jsp HTTP/1.1" 200 9935
127.0.0.1 - - [23/Feb/2024:21:08:58 +0530] "GET /Games/GameDetails.jsp?gameID=4 HTTP/1.1" 200 7131
127.0.0.1 - - [23/Feb/2024:21:08:58 +0530] "GET /Games/images/slide4.jpg HTTP/1.1" 404 783
127.0.0.1 - - [23/Feb/2024:21:09:29 +0530] "GET /Games/GameDetails.jsp?gameID=4 HTTP/1.1" 200 7305
127.0.0.1 - - [23/Feb/2024:21:09:29 +0530] "GET /Games/images/slide4.jpg HTTP/1.1" 404 783
127.0.0.1 - - [23/Feb/2024:21:09:39 +0530] "GET /Games/GameDetails.jsp?gameID=4 HTTP/1.1" 200 7302
127.0.0.1 - - [23/Feb/2024:21:09:39 +0530] "GET /Games/images/slide4.jpg HTTP/1.1" 404 783
127.0.0.1 - - [23/Feb/2024:21:09:51 +0530] "GET /Games/GameDetails.jsp?gameID=4 HTTP/1.1" 200 7303
127.0.0.1 - - [23/Feb/2024:21:09:51 +0530] "GET /Games/images/slide4.jpg HTTP/1.1" 404 783
127.0.0.1 - - [23/Feb/2024:21:10:01 +0530] "GET /Games/GameDetails.jsp?gameID=4 HTTP/1.1" 200 7302
127.0.0.1 - - [23/Feb/2024:21:10:01 +0530] "GET /Games/images/slide4.jpg HTTP/1.1" 404 783
